Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Oct 11 11:36:41 EDT 2023,SocialDistance.pl,1697038601548,162737,0,(F)1(R)1(F)2(I)5(F)12(I)4,36.0,0.0,0.0,60.0,4.0,0.0,0.15432098765432098,0.0,0.0,0.09259259259259259,0.0,0.006172839506172839,0.05555555555555555,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Oct 11 11:36:41 EDT 2023,SocialDistance.pl, 1697038601548
2,,Wed Oct 11 11:39:24 EDT 2023,SocialDistance.pl,1697038764425,2927625,0,(I)16(F)2(I)3(F)2,82.6086956521739,0.0,0.0,17.391304347826086,0.0,0.0,0.007857874957294158,0.0,0.0,0.0013665869490946361,0.0,0.0,0.006491288008199521,0.0,[]
3,,Wed Oct 11 12:28:23 EDT 2023,SocialDistance.pl,1697041703582,19256,0,(F)4(I)2(F)2(I)2(F)2(R)1(I)4(R)1(I)7,60.0,0.0,0.0,32.0,8.0,0.0,1.3157894736842106,0.0,0.0,0.42105263157894735,0.0,0.10526315789473684,0.7894736842105263,0.0,[]
4,,Wed Oct 11 12:28:42 EDT 2023,SocialDistance.pl,1697041722971,13095,0,(I)8(R)2(I)14,91.66666666666666,0.0,0.0,0.0,8.333333333333332,0.0,1.8461538461538463,0.0,0.0,0.0,0.0,0.15384615384615385,1.6923076923076923,0.0,[]
5,,Wed Oct 11 12:28:59 EDT 2023,SocialDistance.pl,1697041739137,39923,0,(I)2(F)16(I)4,27.27272727272727,0.0,0.0,72.72727272727273,0.0,0.0,0.5641025641025641,0.0,0.0,0.41025641025641024,0.0,0.0,0.15384615384615385,0.0,[]
6,,Wed Oct 11 12:29:39 EDT 2023,SocialDistance.pl,1697041779313,7703,7703,(I)3(R)2(I)20,92.0,0.0,0.0,0.0,8.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.2857142857142857,3.2857142857142856,0.0,[]
7,,Wed Oct 11 12:29:47 EDT 2023,SocialDistance.pl,1697041787427,29553,0,(I)1(F)1(I)1(F)1(I)9(F)1(I)1(F)1(R)3(I)3(F)1(I)1,66.66666666666666,0.0,0.0,20.833333333333336,12.5,0.0,0.8275862068965517,0.0,0.0,0.1724137931034483,0.0,0.10344827586206896,0.5517241379310345,0.0,[]
8,,Wed Oct 11 12:30:20 EDT 2023,SocialDistance.pl,1697041820595,11609,0,(F)1(I)9(F)1(I)1(F)1(R)3(I)9,76.0,0.0,0.0,12.0,12.0,0.0,2.272727272727273,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,1.7272727272727273,0.0,[]
9,,Wed Oct 11 12:30:32 EDT 2023,SocialDistance.pl,1697041832294,12363,0,(I)1(R)2(I)4(F)1(I)1(R)1(F)1(R)2(I)11(R)1,68.0,0.0,0.0,8.0,24.0,0.0,2.0833333333333335,0.0,0.0,0.16666666666666666,0.0,0.5,1.4166666666666667,0.0,[]
10,,Wed Oct 11 12:30:44 EDT 2023,SocialDistance.pl,1697041844876,4251,4251,(I)3(R)2(I)2(R)1(I)5(R)1(I)2(F)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1,64.0,0.0,0.0,4.0,32.0,0.0,6.25,0.0,0.0,0.25,0.0,2.0,4.0,0.0,[]
16,,Wed Oct 11 12:31:55 EDT 2023,SocialDistance.pl,1697041915863,133244,0,(D)3(F)3(I)1(F)6(I)2(F)1,18.75,18.75,0.0,62.5,0.0,0.0,0.12030075187969924,0.0,0.022556390977443608,0.07518796992481203,0.0,0.0,0.022556390977443608,0.0,[]
